province,year,homeownership,homeownership_index
West Nusa Tenggara,2001,86.48,94.34867990399303
West Nusa Tenggara,2002,88.94,97.03251145537858
West Nusa Tenggara,2003,88.61,96.67248527165613
West Nusa Tenggara,2004,87.33,95.27602007418722
West Nusa Tenggara,2005,87.87,95.86515382936942
West Nusa Tenggara,2006,85.56,93.34497054331224
West Nusa Tenggara,2007,84.45,92.13397337988218
West Nusa Tenggara,2008,85.06,92.79947632555096
West Nusa Tenggara,2009,84.34,92.0139646519747
West Nusa Tenggara,2010,84.46,92.1448832642374
West Nusa Tenggara,2011,85.77,93.574078114771993
West Nusa Tenggara,2012,85.62,93.4104298494436
West Nusa Tenggara,2013,87.1,95.02509273401701
West Nusa Tenggara,2014,85.29,93.05040366572115
West Nusa Tenggara,2015,87.85,95.84333406065896
West Nusa Tenggara,2016,88.3,96.33427885664412
West Nusa Tenggara,2017,85.66,93.4540693868645
West Nusa Tenggara,2018,85.48,93.25769146847044
West Nusa Tenggara,2019,87.15,95.07964215579315
West Nusa Tenggara,2020,87.43,95.38511891773949
East Nusa Tenggara,1999,90.62,100
East Nusa Tenggara,2000,91.78,101.28007062458617
East Nusa Tenggara,2001,88.3,97.43985875082763
East Nusa Tenggara,2002,87.92,97.02052527035974
East Nusa Tenggara,2003,88.87,98.06885897152947
East Nusa Tenggara,2004,88.39,97.53917457514896
East Nusa Tenggara,2005,88,97.10880600308982
East Nusa Tenggara,2006,87.14,96.15978812624144
East Nusa Tenggara,2007,85.11,93.91966453321562
East Nusa Tenggara,2008,85.13,93.94173471639814
East Nusa Tenggara,2009,85.36,94.19554182299713
East Nusa Tenggara,2010,83.74,92.40785698521296
East Nusa Tenggara,2011,86.56,95.51975281394836
East Nusa Tenggara,2012,86.3,95.23284043257559
East Nusa Tenggara,2013,87.43,96.479805782388
East Nusa Tenggara,2014,86.33,95.26594570734936
East Nusa Tenggara,2015,88.52,97.68263076583534
East Nusa Tenggara,2016,88.53,97.69366585742661
East Nusa Tenggara,2017,86.5,95.4535422644008
East Nusa Tenggara,2018,85.91,94.80247186051643
East Nusa Tenggara,2019,86.88,95.87287574486867
East Nusa Tenggara,2020,87.39,96.43566541602296
West Kalimantan,1999,89.48,100
West Kalimantan,2000,87.33,97.59722843093428
West Kalimantan,2001,85.28,95.30621367903441
West Kalimantan,2002,85.91,96.01028162717925
West Kalimantan,2003,88.87,99.31828341528833
West Kalimantan,2004,87.17,97.41841752346893
West Kalimantan,2005,86.51,96.68082253017434
West Kalimantan,2006,87.6,97.89897183728206
West Kalimantan,2007,84.65,94.60214573088959
West Kalimantan,2008,85.08,95.08270004470272
West Kalimantan,2009,85.82,95.90970049172999
West Kalimantan,2010,84,93.87572641931158
West Kalimantan,2011,85.3,95.32856504246759
West Kalimantan,2012,87.87,98.20071524362987
West Kalimantan,2013,88.81,99.25122932498883
West Kalimantan,2014,87.53,97.82074206526597
West Kalimantan,2015,90.07,100.65936522127849
West Kalimantan,2016,89.06,99.53062136790344
West Kalimantan,2017,87.99,98.33482342422887
West Kalimantan,2018,88.84,99.28475637013858
West Kalimantan,2019,88.52,98.92713455520786
West Kalimantan,2020,88.83,99.27358068842199
Central Kalimantan,1999,81.64,100
Central Kalimantan,2000,80.4,98.48113669769721
Central Kalimantan,2001,78.11,95.67613914747672
Central Kalimantan,2002,79.78,97.72170504654582
Central Kalimantan,2003,80.87,99.05683488486036
Central Kalimantan,2004,78.55,96.21509064184222
Central Kalimantan,2005,78.9,96.6438020578148
Central Kalimantan,2006,78.47,96.11709946104851
Central Kalimantan,2007,74.55,91.3155316021558
Central Kalimantan,2008,77.53,94.9657030867222
Central Kalimantan,2009,76.93,94.23076923076924
Central Kalimantan,2010,72.68,89.02498775110242
Central Kalimantan,2011,75.97,93.05487506124449
Central Kalimantan,2012,77.87,95.38216560509555
Central Kalimantan,2013,74.1,90.76433121019107
Central Kalimantan,2014,73.51,90.04164625183734
Central Kalimantan,2015,77.99,95.52915237628613
Central Kalimantan,2016,75.74,92.77315041646251
Central Kalimantan,2017,76.8,94.07153356197941
Central Kalimantan,2018,75.24,92.16070553650171
Central Kalimantan,2019,75.58,92.57716805487506
Central Kalimantan,2020,78.35,95.9701126898579
South Kalimantan,1999,81.63,100
South Kalimantan,2000,79.81,97.77042753889502
South Kalimantan,2001,76.14,93.27453142227124
South Kalimantan,2002,77.81,95.32034791130712
South Kalimantan,2003,79.85,97.81942913144677
South Kalimantan,2004,77.93,95.467352688962407
South Kalimantan,2005,78.52,96.19012617910082
South Kalimantan,2006,77.8,95.30809751316917
South Kalimantan,2007,75.18,92.09849320102906
South Kalimantan,2008,75.78,92.8335170893054
South Kalimantan,2009,74.79,91.6207276736494
South Kalimantan,2010,73.78,90.3834374617175
South Kalimantan,2011,74.67,91.47372289599413
South Kalimantan,2012,76.08,93.20102903344359
South Kalimantan,2013,76.41,93.60529217199559
South Kalimantan,2014,74.39,91.13071174813182
South Kalimantan,2015,79.22,97.0476540487566
South Kalimantan,2016,79.84,97.80717873330885
South Kalimantan,2017,77.3,94.69557760627221
South Kalimantan,2018,76.77,94.04630650496141
South Kalimantan,2019,76.33,93.50728898689208
South Kalimantan,2020,77.58,95.03858875413451
East Kalimantan,1999,70.68,100
East Kalimantan,2000,68.41,96.78834182229767
East Kalimantan,2001,66.71,94.38313525749857
East Kalimantan,2002,66.3,93.80305602716467
East Kalimantan,2003,67.91,96.08092812676851
East Kalimantan,2004,68.81,97.35427277872098
East Kalimantan,2005,69.64,98.52857951329936
East Kalimantan,2006,69.1,97.76457272212788
East Kalimantan,2007,65.65,92.8834182229768
East Kalimantan,2008,64.92,91.85059422750423
East Kalimantan,2009,66.05,93.4493491794001
East Kalimantan,2010,63.88,90.37917374080362
East Kalimantan,2011,66.18,93.63327674023769
East Kalimantan,2012,71.35,100.94793435200904
East Kalimantan,2013,68.1,96.34974533106958
East Kalimantan,2014,68.91,97.49575551782681
East Kalimantan,2015,72.69,102.84380305602716
East Kalimantan,2016,71.12,100.62252405206564
East Kalimantan,2017,68.87,97.4391624221845
East Kalimantan,2018,70.31,99.47651386530842
East Kalimantan,2019,69.13,97.80701754385963
East Kalimantan,2020,68.83,97.38256932654214
North Sulawesi,1999,79.95,100
North Sulawesi,2000,78.96,98.76172607879924
North Sulawesi,2001,71.15,88.99312070043777
North Sulawesi,2002,73.89,92.4202626641651
North Sulawesi,2003,78.18,97.78611632270169
North Sulawesi,2004,74.51,93.19574734208881
North Sulawesi,2005,76.58,95.7848655409631
North Sulawesi,2006,75.95,94.99687304565353
North Sulawesi,2007,74.65,93.37085678549094
North Sulawesi,2008,72.11,90.19387116948093
North Sulawesi,2009,72.75,90.99437148217636
North Sulawesi,2010,73.75,92.24515322076297
North Sulawesi,2011,73.47,91.89493433395872
North Sulawesi,2012,75.4,94.3089430894309
North Sulawesi,2013,76.12,95.20950594121325
North Sulawesi,2014,74.6,93.3083176985616
North Sulawesi,2015,80.44,100.61288305190743
North Sulawesi,2016,79.77,99.7748592870544
North Sulawesi,2017,76.79,96.04752970606629
North Sulawesi,2018,77.65,97.12320200125079
North Sulawesi,2019,77.27,96.64790494058786
North Sulawesi,2020,78.67,98.39899937460913
Central Sulawesi,1999,84.67,100
Central Sulawesi,2000,85.42,100.88579189795676
Central Sulawesi,2001,83.91,99.1023975434038
Central Sulawesi,2002,82.84,97.83866776898547
Central Sulawesi,2003,84.28,99.53938821306248
Central Sulawesi,2004,84.96,100.34250620054328
Central Sulawesi,2005,82.63,97.59064603755758
Central Sulawesi,2006,82.22,97.1064131333412
Central Sulawesi,2007,80.53,95.1104287232786
Central Sulawesi,2008,80.78,95.4056926892642
Central Sulawesi,2009,81.5,96.2560529113027
